"usaf_station","wban_station","date","time","latitude","longitude","elevation","wind_direction","wind_speed","ceiling_height","visibility_distance","temperature","temperature_dewpoint","air_pressure"
"722688","93034","20090101","0052","+32688","-103210","+1116","160","0036","22000","016093","+0030","-0100","99999"
"722688","93034","20090101","1248","+32688","-103210","+1116","240","0041","22000","016093","+0020","-0070","99999"
"722688","93034","20090101","1350","+32688","-103210","+1116","230","0031","22000","016093","-0010","-0070","99999"
"722688","93034","20090101","1450","+32688","-103210","+1116","250","0026","22000","016093","+0040","-0070","99999"
"722688","93034","20090101","1550","+32688","-103210","+1116","250","0082","22000","016093","+0120","-0070","99999"
"722688","93034","20090101","1650","+32688","-103210","+1116","240","0093","22000","016093","+0140","-0070","99999"
"722688","93034","20090101","1750","+32688","-103210","+1116","250","0088","22000","016093","+0170","-0070","99999"
"722688","93034","20090101","1850","+32688","-103210","+1116","270","0072","22000","016093","+0180","-0070","99999"
"722688","93034","20090101","1950","+32688","-103210","+1116","240","0077","22000","016093","+0200","-0080","99999"
"722688","93034","20090101","2051","+32688","-103210","+1116","240","0093","22000","016093","+0200","-0090","99999"
"722688","93034","20090101","2151","+32688","-103210","+1116","240","0088","22000","016093","+0210","-0090","99999"
"722688","93034","20090101","2251","+32688","-103210","+1116","240","0067","22000","016093","+0200","-0090","99999"
"722688","93034","20090101","2353","+32688","-103210","+1116","230","0041","22000","016093","+0170","-0080","99999"
"722688","93034","20090102","0050","+32688","-103210","+1116","240","0031","22000","016093","+0110","-0090","99999"
"722688","93034","20090102","1250","+32688","-103210","+1116","230","0021","22000","016093","+0040","-0080","99999"
"722688","93034","20090102","1350","+32688","-103210","+1116","240","0026","22000","016093","+0030","-0080","99999"
"722688","93034","20090102","1450","+32688","-103210","+1116","230","0031","22000","016093","+0050","-0080","99999"
"722688","93034","20090102","1550","+32688","-103210","+1116","240","0051","22000","016093","+0140","-0080","99999"
"722688","93034","20090102","1650","+32688","-103210","+1116","250","0057","22000","016093","+0180","-0080","99999"
"722688","93034","20090102","1750","+32688","-103210","+1116","250","0041","22000","016093","+0200","-0080","99999"
"722688","93034","20090102","1950","+32688","-103210","+1116","230","0046","22000","016093","+0220","-0090","99999"
"722688","93034","20090102","2050","+32688","-103210","+1116","240","0057","22000","016093","+0220","-0090","99999"
"722688","93034","20090102","2150","+32688","-103210","+1116","230","0051","22000","016093","+0220","-0090","99999"
"722688","93034","20090102","2250","+32688","-103210","+1116","230","0062","22000","016093","+0200","-0100","99999"
"722688","93034","20090103","0050","+32688","-103210","+1116","220","0031","22000","016093","+0100","-0120","99999"
"722688","93034","20090103","1250","+32688","-103210","+1116","230","0062","22000","016093","+0090","-0020","99999"
"722688","93034","20090103","1350","+32688","-103210","+1116","220","0051","22000","016093","+0090","-0020","99999"
"722688","93034","20090103","1450","+32688","-103210","+1116","210","0031","22000","016093","+0100","-0020","99999"
"722688","93034","20090103","1550","+32688","-103210","+1116","230","0077","22000","016093","+0150","-0010","99999"
"722688","93034","20090103","1650","+32688","-103210","+1116","240","0093","22000","016093","+0170","-0010","99999"
"722688","93034","20090103","1750","+32688","-103210","+1116","230","0103","22000","016093","+0190","-0020","99999"
"722688","93034","20090103","1852","+32688","-103210","+1116","230","0082","22000","016093","+0200","-0020","99999"
"722688","93034","20090103","1950","+32688","-103210","+1116","240","0113","22000","016093","+0200","-0020","99999"
"722688","93034","20090103","2050","+32688","-103210","+1116","230","0093","22000","016093","+0200","-0020","99999"
"722688","93034","20090103","2150","+32688","-103210","+1116","210","0057","22000","016093","+0200","-0020","99999"
"722688","93034","20090103","2250","+32688","-103210","+1116","230","0088","22000","016093","+0190","-0020","99999"
"722688","93034","20090103","2359","+32688","-103210","+1116","230","0067","22000","016093","+0170","-0030","99999"
"722688","93034","20090104","0050","+32688","-103210","+1116","230","0026","22000","016093","+0140","-0040","99999"
"722688","93034","20090104","1250","+32688","-103210","+1116","360","0072","22000","016093","-0040","-0100","99999"
"722688","93034","20090104","1350","+32688","-103210","+1116","350","0067","22000","016093","-0050","-0100","99999"
"722688","93034","20090104","1450","+32688","-103210","+1116","350","0082","22000","016093","-0030","-0100","99999"
"722688","93034","20090104","1550","+32688","-103210","+1116","010","0082","22000","016093","-0010","-0110","99999"
"722688","93034","20090104","1650","+32688","-103210","+1116","010","0082","22000","016093","+0000","-0110","99999"
"722688","93034","20090104","1750","+32688","-103210","+1116","010","0072","22000","016093","+0010","+9999","99999"
"722688","93034","20090104","1850","+32688","-103210","+1116","020","0072","22000","016093","+0030","-0100","99999"
"722688","93034","20090104","1950","+32688","-103210","+1116","020","0072","22000","016093","+0040","-0100","99999"
"722688","93034","20090104","2150","+32688","-103210","+1116","010","0072","22000","016093","+0050","-0110","99999"
"722688","93034","20090104","2350","+32688","-103210","+1116","040","0062","22000","016093","+0020","-0130","99999"
"722688","93034","20090105","0050","+32688","-103210","+1116","050","0041","22000","016093","+0000","-0140","99999"
"722688","93034","20090105","1350","+32688","-103210","+1116","999","0000","22000","016093","-0070","-0090","99999"
"722688","93034","20090105","1450","+32688","-103210","+1116","999","0000","22000","016093","-0060","-0090","99999"
"722688","93034","20090105","1550","+32688","-103210","+1116","999","0000","22000","016093","-0040","-0130","99999"
"722688","93034","20090105","1850","+32688","-103210","+1116","220","0031","02438","016093","-0010","-0090","99999"
"722688","93034","20090105","1954","+32688","-103210","+1116","200","0041","02743","016093","+0000","-0080","99999"
"722688","93034","20090105","2058","+32688","-103210","+1116","190","0057","22000","016093","+0010","-0080","99999"
"722688","93034","20090105","2152","+32688","-103210","+1116","190","0062","22000","016093","+0030","-0080","99999"
"722688","93034","20090105","2250","+32688","-103210","+1116","190","0057","22000","016093","+0030","-0090","99999"
"722688","93034","20090105","2350","+32688","-103210","+1116","190","0051","22000","016093","+0020","-0080","99999"
"722688","93034","20090106","0050","+32688","-103210","+1116","190","0046","22000","016093","+0000","-0070","99999"
"722688","93034","20090106","1250","+32688","-103210","+1116","240","0041","22000","016093","+0030","-0030","99999"
"722688","93034","20090106","1350","+32688","-103210","+1116","240","0067","01676","016093","+0040","-0030","99999"
"722688","93034","20090106","1450","+32688","-103210","+1116","260","0067","01981","016093","+0040","-0030","99999"
"722688","93034","20090106","1550","+32688","-103210","+1116","290","0160","22000","016093","+0070","-0060","99999"
"722688","93034","20090106","1650","+32688","-103210","+1116","290","0124","22000","016093","+0080","-0070","99999"
"722688","93034","20090106","1750","+32688","-103210","+1116","300","0103","22000","016093","+0090","-0080","99999"
